Datum,Ort,Meldung,Status,Jahr,id
26.02.2023,Hofkirchen im Mühlkreis,Wolfssichtung,Fotonachweis vorhanden,2023,219
28.02.2023,Leopoldschlag,Wolfssichtungen,Fotonachweise über Fährten vorhanden,2023,220
01.03.2023,Gutau,Wolfssichtung,Foto-/Videonachweis vorhanden; Fotonachweise über Fährten vorhanden,2023,221
01.03.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,222
01.03.2023,Pregarten,Wolfssichtung,Videonachweis vorhanden,2023,223
04.03.2023,Tragwein/Allerheiligen im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,224
04.03.2023,Dimbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,225
05.03.2023,Münzbach,1 totes Reh,Verdacht auf Wolfsriss; keine abschließende Beurteilung durch DNA möglich,2023,226
06.03.2023,Herzogsdorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,227
09.03.2023,Gallneukirchen,Wolfssichtung,Fotonachweis vorhanden,2023,228
14.03.2023,Alberndorf in der Riedmark,Wolfssichtung,Videonachweis vorhanden,2023,229
14.03.2023,Alberndorf in der Riedmark,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,230
14.03.2023,Herzogsdorf,Wolfssichtung,Fotonachweis vorhanden,2023,231
16.03.2023,Pregarten,Wolfssichtung,Videonachweis vorhanden,2023,232
16.03.2023,Alberndorf in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2023,233
19.03.2023,Haibach im Mühlkreis,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,234
19.03.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,235
19.03.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,236
21.03.2023,Bad Kreuzen,1 totes Reh,Verdacht auf Wolfsriss; keine abschließende Beurteilung durch DNA möglich,2023,237
27.03.2023,Weitersfelden,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,238
28.03.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,239
28.03.2023,Gramastetten,"2 tote Altschafe,7 tote Lämmer,1 vermisstes Lamm",begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,240
30.03.2023,Walding,Wolfssichtungen,kein Fotonachweis vorhanden,2023,241
31.03.2023,Gutau,Wolfssichtung,kein Fotonachweis vorhanden,2023,242
31.03.2023,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2023,243
31.03.2023,Micheldorf,Losungsfund,DNA-Analyse: Hund bestätigt,2023,244
01.04.2023,Hinzenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,245
05.04.2023,Tiefgraben,"1 totes Altschaf, 1 totes Lamm",begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,246
06.04.2023,Gunskirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,247
07.04.2023,Alberndorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,248
08.04.2023,Hellmonsödt,Wolfssichtung,kein Fotonachweis vorhanden,2023,249
10.04.2023,Tragwein,Wolfssichtung,kein Fotonachweis vorhanden,2023,250
10.04.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Hund bestätigt,2023,251
17.04.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,252
20.04.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,253
21.04.2023,Weitersfelden,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,254
25.04.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,255
26.04.2023,Unterach am Attersee,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,256
01.05.2023,Neumarkt im Mühlkreis,Wolfssichtung,Videonachweis vorhanden,2023,257
02.05.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,258
02.05.2023,Liebenau,Wolfssichtungen,Foto-/Videonachweis vorhanden,2023,259
02.05.2023,Frankenburg,1 totes Reh,begutachtet - DNA-Analyse: Hund bestätigt,2023,260
03.05.2023,Holzhausen,Wolfssichtung,Fotonachweis vorhanden,2023,261
03.05.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,262
03.05.2023,Pötting,Wolfssichtung,Fotonachweis vorhanden,2023,263
03.05.2023,Bad Schallerbach,Wolfssichtung,Videonachweis vorhanden,2023,264
03.05.2023,Kirchberg-Thening,Wolfssichtungen,Videonachweis vorhanden,2023,265
04.05.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,266
04.05.2023,Wallern an der Trattnach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,267
05.05.2023,Kirchberg-Thening,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,268
11.05.2023,Straß im Attergau,1 totes Reh,begutachtet - DNA-Analyse: keine abschließende Beurteilung durch DNA möglich,2023,269
11.05.2023,Waldhausen,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,270
12.05.2023,St.Magdalena (Linz),1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,271
13.05.2023,Wels,Wolfssichtung,kein Fotonachweis vorhanden,2023,272
15.05.2023,Allerheiligen im Mühlkreis,1 totes Reh,begutachtet - DNA-Analyse: keine abschließende Beurteilung durch DNA möglich,2023,273
15.05.2023,Waldzell,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,274
16.05.2023,Peilstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,275
18.05.2023,Bad Leonfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,276
19.05.2023,Leopoldschlag,Wolfssichtungen,kein Fotonachweis vorhanden,2023,277
20.05.2023,Reichenthal,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,278
26.05.2023,Scharnstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,279
28.05.2023,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2023,280
31.05.2023,St.Thomas am Blasenstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,281
05.06.2023,Walding,Wolfssichtung,kein Fotonachweis vorhanden,2023,282
07.06.2023,Walding,200 Masthühner,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,283
08.06.2023,Gmunden/Grünberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,284
15.06.2023,Pabneukirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,285
15.06.2023,Laussa,3 tote Hühner,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,286
23.06.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,287
23.06.2023,Lichtenberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,288
25.06.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,289
26.06.2023,Gosau,Wolfssichtung,kein Fotonachweis vorhanden,2023,290
03.07.2023,Walding,Wolfssichtung,kein Fotonachweis vorhanden,2023,291
05.07.2023,Weyer,1 totes Kalb,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,292
06.07.2023,Spital am Pyhrn,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,293
06.07.2023,Molln,Übergriff auf Rinderherde,begutachtet - DNA-Analyse: Hund bestätigt,2023,294
08.07.2023,Liebenau,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,295
10.07.2023,Molln,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,296
14.07.2023,Feldkirchen bei Mattighofen,Wolfssichtung,kein Fotonachweis vorhanden,2023,297
22.07.2023,St.Wolfgang,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,298
27.07.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,299
